"Timestamp","Sex","Birthday","Horoscope","Height (cm)","Weight (kg)","Body State","Relationship Status","Relationship Period (Starting Date)","Hometown ","Hobby (Select 3)","Favourite Colour","Movie Preferences","Field of Work/ Study","Family Economy Status","How do you get your energy?","How do you see the world and gather information. ","How do you make your decisions","How much do you plan ahead?","Gift Preferences (Choose 3)"
"2021/05/19 5:37:59 PM GMT+8","Female","1998-07-26","Leo (July 23-Aug 22)","158","42","Slim","Single","","Central Region: Selangor, federal territories of Kuala Lumpur and Putrajaya.","Sports & Outdoors (e-sports doesn't count);Performing Arts (drawing, sculpting, cooking);Music (performing or listening)","White","Comedy;Drama","Science","B40 (Bottom 40%)","I","S","T","J","Stationery;Hand Made Gift (handmade photobook, etc..);Outfit (T-shirt, shoes, etc..)"
"2021/05/19 5:40:04 PM GMT+8","Male","2021-01-26","Aquarius (Jan 20-Feb 18)","175","62","Slim","Single","","Southern Region: Negeri Sembilan, Malacca, Johor.","Games (board and computer games);Sports & Outdoors (e-sports doesn't count);Music (performing or listening)","Blue","Action;Horror;Mystery","Science","M40 (Middle 40%)","I","S","T","J","Food and Snacks;Cosmetics (Lipstick, perfumes, etc..);Outfit (T-shirt, shoes, etc..)"
"2021/05/19 5:41:28 PM GMT+8","Female","1999-12-06","Sagittarius (Nov 22-Dec 21)","156","41","Slim","Single","","Southern Region: Negeri Sembilan, Malacca, Johor.","Arts & Crafts (embroidery, knitting, drawing);Sports & Outdoors (e-sports doesn't count);Music (performing or listening)","Purple","Comedy;Drama;Romance","Art","B40 (Bottom 40%)","E","S","F","P","Food and Snacks;Cosmetics (Lipstick, perfumes, etc..);Jewelry (Necklace, Ring, etc..)"
"2021/05/19 5:46:34 PM GMT+8","Female","1999-05-05","Taurus (Apr 20-May 20)","155","47","Normal","Single","","Southern Region: Negeri Sembilan, Malacca, Johor.","Games (board and computer games);Performing Arts (drawing, sculpting, cooking);Music (performing or listening)","Black","Drama;Fantasy;Horror;Mystery;Thriller","Science","M40 (Middle 40%)","I","N","T","P","Food and Snacks;Technology Gadgets;Cash"
"2021/05/19 5:59:41 PM GMT+8","Female","1998-04-23","Taurus (Apr 20-May 20)","158","45","Normal","In a Relationship","2020-08-20","Central Region: Selangor, federal territories of Kuala Lumpur and Putrajaya.","Arts & Crafts (embroidery, knitting, drawing);Games (board and computer games);Music (performing or listening)","Purple","Comedy;Drama;Mystery;Romance","Science","T20 (Top 20%)","I","S","T","J","Food and Snacks;Cosmetics (Lipstick, perfumes, etc..);Jewelry (Necklace, Ring, etc..)"
"2021/05/19 6:05:07 PM GMT+8","Male","1999-10-31","Scorpio (Oct 23-Nov 21)","172","65","Normal","Single","","Northern Region: Perlis, Kedah, Penang, Perak.","Arts & Crafts (embroidery, knitting, drawing);Performing Arts (drawing, sculpting, cooking);Music (performing or listening)","Blue","Comedy;Drama;Fantasy;Romance","Science","M40 (Middle 40%)","I","N","F","P","Hand Made Gift (handmade photobook, etc..);Outfit (T-shirt, shoes, etc..);Accompaniment (Pets, etc..)"
"2021/05/19 6:25:59 PM GMT+8","Female","1999-05-20","Taurus (Apr 20-May 20)","158","52","Normal","Single","","Northern Region: Perlis, Kedah, Penang, Perak.","Sports & Outdoors (e-sports doesn't count);Music (performing or listening);Spiritual and Mental (meditation, self-enrichment sessions)","Orange","Action;Fantasy;Romance;Western","Science","M40 (Middle 40%)","I","N","F","J","Fitness/ Sports Gadgets;Cosmetics (Lipstick, perfumes, etc..);Vacation"
"2021/05/19 7:02:16 PM GMT+8","Female","2000-09-25","Libra (Sep 23-Oct 22)","160","60","Normal","Single","","Northern Region: Perlis, Kedah, Penang, Perak.","Games (board and computer games);Performing Arts (drawing, sculpting, cooking);Music (performing or listening)","Indigo","Action;Comedy;Horror;Mystery;Romance;Thriller;Western","Science","M40 (Middle 40%)","I","N","F","J","Technology Gadgets;Hand Made Gift (handmade photobook, etc..);Flower"
"2021/05/19 7:03:18 PM GMT+8","Female","1999-08-25","Virgo (Aug 23-Sep 22)","155","50","Normal","Single","","Southern Region: Negeri Sembilan, Malacca, Johor.","Sports & Outdoors (e-sports doesn't count);Music (performing or listening);Spiritual and Mental (meditation, self-enrichment sessions)","Black","Horror;Mystery;Thriller","Science","B40 (Bottom 40%)","I","S","T","P","Food and Snacks;Vacation;Cash"
"2021/05/19 7:28:24 PM GMT+8","Male","1999-01-28","Aquarius (Jan 20-Feb 18)","180","70","Muscular","Single","","Northern Region: Perlis, Kedah, Penang, Perak.","Games (board and computer games);Sports & Outdoors (e-sports doesn't count);Music (performing or listening)","Black","Action;Comedy;Romance","Science","B40 (Bottom 40%)","E","N","T","P","Food and Snacks;Technology Gadgets;Cash"
"2021/05/19 11:43:53 PM GMT+8","Female","2000-11-02","Scorpio (Oct 23-Nov 21)","160","37","Slim","Single","","Southern Region: Negeri Sembilan, Malacca, Johor.","Games (board and computer games);Music (performing or listening);Spiritual and Mental (meditation, self-enrichment sessions)","White","Comedy;Drama;Romance","Science","M40 (Middle 40%)","I","S","T","P","Cosmetics (Lipstick, perfumes, etc..);Jewelry (Necklace, Ring, etc..);Vacation"
"2021/05/19 11:55:52 PM GMT+8","Female","1999-07-14","Cancer (Jun 21-Jul 22)","164","48","Normal","In a Relationship","2018-04-05","Northern Region: Perlis, Kedah, Penang, Perak.","Arts & Crafts (embroidery, knitting, drawing);Music (performing or listening);Spiritual and Mental (meditation, self-enrichment sessions)","Red","Comedy;Drama;Romance;Western","Science","M40 (Middle 40%)","I","N","F","P","Food and Snacks;Cosmetics (Lipstick, perfumes, etc..);Hand Made Gift (handmade photobook, etc..)"
"2021/05/19 11:56:36 PM GMT+8","Male","1999-07-23","Leo (July 23-Aug 22)","170","63","Normal","Single","","Southern Region: Negeri Sembilan, Malacca, Johor.","Games (board and computer games);Model & Electronic (tinkering electronics, cars);Sports & Outdoors (e-sports doesn't count)","Blue","Action;Comedy;Drama;Fantasy;Horror;Mystery;Romance;Thriller;Western","Science","B40 (Bottom 40%)","E","N","T","J","Technology Gadgets;Hand Made Gift (handmade photobook, etc..);Outfit (T-shirt, shoes, etc..)"
"2021/05/20 12:07:16 AM GMT+8","Male","1999-05-22","Gemini (May 21-Jun 20)","168","57","Slim","Single","","Southern Region: Negeri Sembilan, Malacca, Johor.","Games (board and computer games);Sports & Outdoors (e-sports doesn't count);Spiritual and Mental (meditation, self-enrichment sessions)","Green","Mystery","Art","B40 (Bottom 40%)","I","S","F","P","Fitness/ Sports Gadgets;Outfit (T-shirt, shoes, etc..);Vacation"
"2021/05/22 10:38:39 PM GMT+8","Female","1999-03-22","Aries (Mar 21-Apr 19)","162","62","Normal","Single","","Northern Region: Perlis, Kedah, Penang, Perak.","Arts & Crafts (embroidery, knitting, drawing);Performing Arts (drawing, sculpting, cooking);Music (performing or listening)","Purple","Drama","Art","M40 (Middle 40%)","E","N","F","J","Technology Gadgets;Hand Made Gift (handmade photobook, etc..);Vacation"
"2021/05/23 9:51:15 AM GMT+8","Female","1999-02-16","Aquarius (Jan 20-Feb 18)","158","53","Normal","Single","","East Malaysia: Sabah, Sarawak","Arts & Crafts (embroidery, knitting, drawing);Sports & Outdoors (e-sports doesn't count);Performing Arts (drawing, sculpting, cooking)","Blue","Drama;Horror;Mystery;Thriller","Science","B40 (Bottom 40%)","I","S","T","P","Food and Snacks;Outfit (T-shirt, shoes, etc..);Cash"
